review_text,label
I can't believe how perfect this restaurant is!,1
Fake restaurant. Doesn't work at all!,1
I'm pleased with the headphones so far.,0
Avoid this laptop at all costs!,1
Miracle phone case! Works overnight!,1
I use this tool daily and it's holding up well.,0
Satisfied with the service. Would recommend.,0
Terrible headphones. Zero stars!,1
The phone case works as described. Happy with the purchase.,0
I bought ten more of this headphones for my friends!,1
The phone case quality is decent and matches the description.,0
The laptop quality is decent and matches the description.,0
Absolutely amazing watch! Everyone should buy it now!,1
Horrible laptop. I want my money back!,1
The service works as described. Happy with the purchase.,0
Totally worth every penny! This device is the best in the world!,1
Satisfied with the item. Would recommend.,0
Waste of money on this device.,1
Horrible headphones. I want my money back!,1
I'm pleased with the tool so far.,0
Fake phone case. Doesn't work at all!,1
Absolutely amazing headphones! Everyone should buy it now!,1
Product arrived safely. restaurant looks good.,0
The headphones quality is decent and matches the description.,0
I use this headphones daily and it's holding up well.,0
Service was fine and headphones works well.,0
Avoid this restaurant at all costs!,1
I'm pleased with the product so far.,0
Absolutely amazing tool! Everyone should buy it now!,1
Such a bad watch. Disappointed!,1
Best experience ever with this watch!,1
The headphones works as described. Happy with the purchase.,0
The watch works as described. Happy with the purchase.,0
I bought ten more of this laptop for my friends!,1
The item works as described. Happy with the purchase.,0
The device quality is decent and matches the description.,0
Best tool ever! I can't stop recommending it!,1
Waste of money on this product.,1
The worst tool I've ever bought!,1
This watch broke after one day!,1
I bought ten more of this device for my friends!,1
Fake service. Doesn't work at all!,1
Fake item. Doesn't work at all!,1
Overall a decent phone case for the cost.,0
The restaurant quality is decent and matches the description.,0
Satisfied with the service. Would recommend.,0
Service was fine and watch works well.,0
Five stars for this phone case! Completely exceeded my expectations!,1
This laptop broke after one day!,1
Absolutely amazing phone case! Everyone should buy it now!,1
Worst tool ever! Don't waste your money!,1
This is the best device I have ever used! Life changing!,1
The tool works as described. Happy with the purchase.,0
Five stars for this device! Completely exceeded my expectations!,1
Completely useless laptop. Total scam!,1
Worst service ever! Don't waste your money!,1
Overall a decent watch for the cost.,0
The tool quality is decent and matches the description.,0
The watch quality is decent and matches the description.,0
This is the best device I have ever used! Life changing!,1
Five stars for this phone case! Completely exceeded my expectations!,1
Horrible watch. I want my money back!,1
Such a bad product. Disappointed!,1
Good phone case for the price. Arrived on time.,0
You must buy this restaurant! Totally awesome!,1
Product arrived safely. headphones looks good.,0
The watch performs as expected.,0
You must buy this device! Totally awesome!,1
Totally worth every penny! This restaurant is the best in the world!,1
Best experience ever with this device!,1
The restaurant quality is decent and matches the description.,0
I bought ten more of this service for my friends!,1
Worst watch ever! Don't waste your money!,1
Such a bad watch. Disappointed!,1
Worst tool ever! Don't waste your money!,1
You must buy this product! Totally awesome!,1
Avoid this restaurant at all costs!,1
I bought ten more of this headphones for my friends!,1
Such a bad laptop. Disappointed!,1
I bought ten more of this service for my friends!,1
The worst phone case I've ever bought!,1
Good device for the price. Arrived on time.,0
The service performs as expected.,0
I use this restaurant daily and it's holding up well.,0
Good phone case for the price. Arrived on time.,0
Miracle item! Works overnight!,1
Absolutely amazing headphones! Everyone should buy it now!,1
The tool quality is decent and matches the description.,0
Satisfied with the laptop. Would recommend.,0
Avoid this phone case at all costs!,1
Completely useless product. Total scam!,1
Best experience ever with this phone case!,1
Satisfied with the restaurant. Would recommend.,0
Best experience ever with this headphones!,1
Service was fine and device works well.,0
The tool works as described. Happy with the purchase.,0
You must buy this item! Totally awesome!,1
Completely useless watch. Total scam!,1
Fake item. Doesn't work at all!,1
Product arrived safely. product looks good.,0
Absolutely amazing item! Everyone should buy it now!,1
Avoid this service at all costs!,1
Service was fine and laptop works well.,0
Product arrived safely. item looks good.,0
Product arrived safely. item looks good.,0
The phone case performs as expected.,0
Good service for the price. Arrived on time.,0
I bought ten more of this watch for my friends!,1
I use this product daily and it's holding up well.,0
Terrible tool. Zero stars!,1
Avoid this watch at all costs!,1
I use this phone case daily and it's holding up well.,0
Satisfied with the phone case. Would recommend.,0
This is the best phone case I have ever used! Life changing!,1
You must buy this tool! Totally awesome!,1
Good restaurant for the price. Arrived on time.,0
You must buy this product! Totally awesome!,1
The device quality is decent and matches the description.,0
Overall a decent watch for the cost.,0
The product quality is decent and matches the description.,0
This phone case broke after one day!,1
Five stars for this item! Completely exceeded my expectations!,1
The headphones performs as expected.,0
Completely useless laptop. Total scam!,1
Service was fine and restaurant works well.,0
Worst product ever! Don't waste your money!,1
Best product ever! I can't stop recommending it!,1
Good device for the price. Arrived on time.,0
Overall a decent service for the cost.,0
Best phone case ever! I can't stop recommending it!,1
The item performs as expected.,0
Best headphones ever! I can't stop recommending it!,1
Service was fine and headphones works well.,0
Totally worth every penny! This service is the best in the world!,1
I use this restaurant daily and it's holding up well.,0
Totally worth every penny! This item is the best in the world!,1
The service performs as expected.,0
Good phone case for the price. Arrived on time.,0
Service was fine and laptop works well.,0
Overall a decent laptop for the cost.,0
Service was fine and item works well.,0
Completely useless laptop. Total scam!,1
Good phone case for the price. Arrived on time.,0
Terrible watch. Zero stars!,1
Product arrived safely. product looks good.,0
Waste of money on this product.,1
This tool broke after one day!,1
Product arrived safely. restaurant looks good.,0
Service was fine and item works well.,0
Best restaurant ever! I can't stop recommending it!,1
Totally worth every penny! This device is the best in the world!,1
Fake device. Doesn't work at all!,1
Totally worth every penny! This product is the best in the world!,1
Overall a decent phone case for the cost.,0
I use this tool daily and it's holding up well.,0
Product arrived safely. tool looks good.,0
Totally worth every penny! This device is the best in the world!,1
Overall a decent restaurant for the cost.,0
The service works as described. Happy with the purchase.,0
Satisfied with the item. Would recommend.,0
Horrible headphones. I want my money back!,1
Horrible phone case. I want my money back!,1
Such a bad item. Disappointed!,1
This is the best item I have ever used! Life changing!,1
I use this device daily and it's holding up well.,0
Service was fine and laptop works well.,0
Best experience ever with this service!,1
I use this service daily and it's holding up well.,0
This product broke after one day!,1
I'm pleased with the headphones so far.,0
Best headphones ever! I can't stop recommending it!,1
I'm pleased with the laptop so far.,0
I can't believe how perfect this device is!,1
Best experience ever with this laptop!,1
Horrible restaurant. I want my money back!,1
Overall a decent service for the cost.,0
I'm pleased with the tool so far.,0
The service performs as expected.,0
This is the best tool I have ever used! Life changing!,1
Best laptop ever! I can't stop recommending it!,1
Satisfied with the tool. Would recommend.,0
You must buy this headphones! Totally awesome!,1
Best experience ever with this service!,1
I use this device daily and it's holding up well.,0
Best tool ever! I can't stop recommending it!,1
The device quality is decent and matches the description.,0
Good item for the price. Arrived on time.,0
Avoid this phone case at all costs!,1
Five stars for this phone case! Completely exceeded my expectations!,1
Service was fine and tool works well.,0
Satisfied with the phone case. Would recommend.,0
Overall a decent tool for the cost.,0
Good restaurant for the price. Arrived on time.,0
The laptop performs as expected.,0
I'm pleased with the product so far.,0
The tool performs as expected.,0
Good phone case for the price. Arrived on time.,0
I'm pleased with the product so far.,0
Worst phone case ever! Don't waste your money!,1
I bought ten more of this laptop for my friends!,1
The worst product I've ever bought!,1
You must buy this phone case! Totally awesome!,1
Overall a decent service for the cost.,0
I use this service daily and it's holding up well.,0
Overall a decent item for the cost.,0
I bought ten more of this device for my friends!,1
Good item for the price. Arrived on time.,0
Terrible product. Zero stars!,1
The product performs as expected.,0
Overall a decent headphones for the cost.,0
Satisfied with the headphones. Would recommend.,0
I use this restaurant daily and it's holding up well.,0
Good headphones for the price. Arrived on time.,0
Satisfied with the item. Would recommend.,0
Best device ever! I can't stop recommending it!,1
Product arrived safely. product looks good.,0
Fake item. Doesn't work at all!,1
Five stars for this tool! Completely exceeded my expectations!,1
Totally worth every penny! This tool is the best in the world!,1
I use this device daily and it's holding up well.,0
I can't believe how perfect this service is!,1
Product arrived safely. phone case looks good.,0
Horrible laptop. I want my money back!,1
Overall a decent tool for the cost.,0
Service was fine and phone case works well.,0
Product arrived safely. watch looks good.,0
The item works as described. Happy with the purchase.,0
This device broke after one day!,1
Best product ever! I can't stop recommending it!,1
This tool broke after one day!,1
I'm pleased with the restaurant so far.,0
You must buy this device! Totally awesome!,1
Service was fine and phone case works well.,0
Fake restaurant. Doesn't work at all!,1
Service was fine and headphones works well.,0
Terrible phone case. Zero stars!,1
Satisfied with the device. Would recommend.,0
I'm pleased with the item so far.,0
Worst product ever! Don't waste your money!,1
The tool works as described. Happy with the purchase.,0
I use this item daily and it's holding up well.,0
The product works as described. Happy with the purchase.,0
The phone case works as described. Happy with the purchase.,0
The worst watch I've ever bought!,1
The phone case quality is decent and matches the description.,0
Good restaurant for the price. Arrived on time.,0
The product works as described. Happy with the purchase.,0
The device works as described. Happy with the purchase.,0
The headphones works as described. Happy with the purchase.,0
I'm pleased with the service so far.,0
Product arrived safely. restaurant looks good.,0
Overall a decent restaurant for the cost.,0
The restaurant performs as expected.,0
Worst headphones ever! Don't waste your money!,1
I'm pleased with the service so far.,0
Product arrived safely. restaurant looks good.,0
Absolutely amazing restaurant! Everyone should buy it now!,1
Product arrived safely. phone case looks good.,0
Overall a decent headphones for the cost.,0
Absolutely amazing laptop! Everyone should buy it now!,1
Overall a decent headphones for the cost.,0
Completely useless restaurant. Total scam!,1
The tool performs as expected.,0
Overall a decent product for the cost.,0
Five stars for this product! Completely exceeded my expectations!,1
Good laptop for the price. Arrived on time.,0
Service was fine and item works well.,0
Terrible device. Zero stars!,1
Miracle laptop! Works overnight!,1
I bought ten more of this tool for my friends!,1
Good headphones for the price. Arrived on time.,0
This item broke after one day!,1
Horrible laptop. I want my money back!,1
Fake phone case. Doesn't work at all!,1
I bought ten more of this tool for my friends!,1
Avoid this headphones at all costs!,1
This service broke after one day!,1
Fake device. Doesn't work at all!,1
The item quality is decent and matches the description.,0
Overall a decent headphones for the cost.,0
Such a bad headphones. Disappointed!,1
This is the best headphones I have ever used! Life changing!,1
The tool performs as expected.,0
Overall a decent watch for the cost.,0
I bought ten more of this phone case for my friends!,1
Such a bad watch. Disappointed!,1
Horrible item. I want my money back!,1
Avoid this item at all costs!,1
Such a bad watch. Disappointed!,1
Satisfied with the phone case. Would recommend.,0
I use this device daily and it's holding up well.,0
Service was fine and item works well.,0
The worst tool I've ever bought!,1
Horrible item. I want my money back!,1
Terrible product. Zero stars!,1
Horrible item. I want my money back!,1
The device quality is decent and matches the description.,0
You must buy this headphones! Totally awesome!,1
Best experience ever with this service!,1
The worst tool I've ever bought!,1
Five stars for this product! Completely exceeded my expectations!,1
This is the best service I have ever used! Life changing!,1
I'm pleased with the laptop so far.,0
Product arrived safely. item looks good.,0
I'm pleased with the product so far.,0
Miracle product! Works overnight!,1
Satisfied with the laptop. Would recommend.,0
The item works as described. Happy with the purchase.,0
Service was fine and device works well.,0
I can't believe how perfect this device is!,1
I bought ten more of this tool for my friends!,1
Terrible product. Zero stars!,1
The item works as described. Happy with the purchase.,0
The watch performs as expected.,0
Completely useless device. Total scam!,1
I'm pleased with the service so far.,0
